Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Deporaus betulae	5	5	monophyletic		1.07		18.84	match	match	match	match
Dermestes lardarius	2	2	monophyletic		0.15		11.68	match	match	match	match
Dermestes maculatus	1	1	monophyletic		N/A		9.72	match	match	match	match
Dermestes murinus	1	1	monophyletic		N/A		11.13	match	match	match	match
Dermestes szekessyi	5	1	monophyletic		0.00		9.72	match	match	match	match
Devia prospera	5	2	monophyletic		1.07		10.08	match	match	match	match
Dexiogyia forticornis	1	1	monophyletic		N/A		12.37	match	match	match	match
Diaperis boleti	5	2	monophyletic		0.16		14.09	match	match	match	match
Dicerca moesta	3	2	monophyletic		0.30		18.84	match	match	match	match
Dicheirotrichus cognatus	1	1	monophyletic		N/A		3.43	match	match	match	match
Dicheirotrichus placidus	5	4	monophyletic		0.30		5.38	match	match	match	match
Dicheirotrichus rufithorax	1	1	monophyletic		N/A		3.43	match	match	match	match
Dictyoptera aurora	5	4	monophyletic		6.69	6.23	20.53	split	split	split	split
Dienerella vincenti	1	1	monophyletic		N/A		20.76	match	match	match	match
Dinaraea aequata	2	1	monophyletic		0.00		13.68	match	match	match	match
Dissoleucas niveirostris	1	1	monophyletic		N/A		17.61	match	match	match	match
Dochmonota clancula	1	1	monophyletic		N/A		13.46	match	match	match	match
Dolichosoma lineare	3	1	monophyletic		0.00		9.08	match	match	match	match
Donacia antiqua	1	1	monophyletic		N/A		9.57	match	match	match	match
Donacia aquatica	1	1	monophyletic		N/A		15.71	match	match	match	match
Donacia obscura	3	3	monophyletic		0.46		9.57	match	match	match	match
Donacia semicuprea	2	1	monophyletic		0.00		16.89	match	match	match	match
Donacia thalassina	6	5	monophyletic		0.48		13.55	match	match	match	match
Donacia vulgaris	1	1	monophyletic		N/A		15.71	match	match	match	match
Dorcatoma chrysomelina	2	1	monophyletic		0.00		17.31	match	match	match	match
Dorcatoma dresdensis	1	1	monophyletic		N/A		14.71	match	match	match	match
Dorcatoma robusta	2	2	monophyletic		0.15		14.71	match	match	match	match
Dorcus parallelipipedus	2	2	monophyletic		0.16		17.31	match	match	match	match
Dorytomus melanophthalmus	3	2	monophyletic		0.46		16.35	match	match	match	match
Dorytomus salicinus	3	1	monophyletic		0.00		14.80	match	match	match	match
Dorytomus taeniatus	1	1	monophyletic		N/A		12.59	match	match	match	match
Dorytomus tremulae	1	1	monophyletic		N/A		12.59	match	match	match	match
Doydirhynchus austriacus	1	1	monophyletic		N/A		15.48	match	match	match	match
Drapetes mordelloides	1	1	monophyletic		N/A		18.14	match	match	match	match
Drilus concolor	2	1	monophyletic		0.00		21.70	match	match	match	match
Dromius agilis	5	2	monophyletic		0.15		10.28	match	match	match	match
Dromius fenestratus	4	3	monophyletic		0.46		4.27	match	match	match	match
Dromius quadraticollis	1	1	monophyletic		N/A		7.22	match	match	match	match
Dromius schneideri	2	2	monophyletic		0.76		4.27	match	match	match	match
Drusilla canaliculata	3	1	monophyletic		0.00		11.47	match	match	match	match
Dryocoetes autographus	1	1	monophyletic		N/A		17.51	match	match	match	match
Dryocoetes villosus	3	1	monophyletic		0.00		17.51	match	match	match	match
Dryophilus pusillus	1	1	monophyletic		N/A		15.68	match	match	match	match
Dryops anglicanus	3	3	monophyletic		0.51		10.40	match	match	match	match
Dryops ernesti	2	1	monophyletic		0.00		10.14	match	match	match	match
Dryops luridus	1	1	monophyletic		N/A		10.14	match	match	match	match
Dryops similaris	1	1	monophyletic		N/A		11.05	match	match	match	match
Dyschirius aeneus	1	1	monophyletic		N/A		8.19	match	match	match	match
Dyschirius angustatus	3	1	monophyletic		0.00		8.56	match	match	match	match
Dyschirius globosus	6	5	monophyletic		1.15		7.49	match	match	match	match
Dyschirius nigricornis	6	4	monophyletic		0.92		8.01	match	match	match	match
Dyschirius obscurus	3	2	polyphyletic	Dyschirius thoracicus	0.77		0.31	merge	merge	mixture	mixture
Dyschirius politus	2	2	monophyletic		0.15		7.17	match	match	match	match
Dyschirius salinus	1	1	monophyletic		N/A		8.01	match	match	match	match
Dyschirius thoracicus	6	6	paraphyletic	Dyschirius obscurus	2.97	2.30	0.31	merge	merge	mixture	mixture
Dyschirius tristis	4	1	monophyletic		0.00		7.17	match	match	match	match
Dytiscus circumcinctus	2	1	monophyletic		0.00		4.90	match	match	match	match
Dytiscus lapponicus	1	1	monophyletic		N/A		4.09	match	match	match	match
Dytiscus marginalis	3	2	monophyletic		1.86	1.86	4.09	match	split	match	split
Eanus costalis	2	1	monophyletic		0.00		17.14	match	match	match	match
Ebaeus lapplandicus	1	1	monophyletic		N/A		16.16	match	match	match	match
Eblisia minor	1	1	monophyletic		N/A		18.87	match	match	match	match
Elaphrus cupreus	6	2	monophyletic		0.32		9.08	match	match	match	match
Elaphrus riparius	4	3	monophyletic		0.16		11.86	match	match	match	match
Elaphrus uliginosus	3	1	monophyletic		0.00		9.08	match	match	match	match
Ellescus bipunctatus	1	1	monophyletic		N/A		12.30	match	match	match	match
Ellescus scanicus	1	1	monophyletic		N/A		12.30	match	match	match	match
Elmis aenea	2	1	monophyletic		0.00		18.59	match	match	match	match
Elodes minuta	1	1	monophyletic		N/A		20.30	match	match	match	match
Encephalus complicans	1	1	monophyletic		N/A		12.27	match	match	match	match
Endomychus coccineus	4	3	monophyletic		0.46		16.06	match	match	match	match
Enicmus rugosus	1	1	monophyletic		N/A		18.71	match	match	match	match
Enochrus affinis	7	7	monophyletic		4.89	4.07	14.59	split	split	split	split
Enochrus bicolor	5	4	monophyletic		0.77		13.88	match	match	match	match
Enochrus coarctatus	1	1	monophyletic		N/A		12.39	match	match	match	match
Enochrus melanocephalus	1	1	monophyletic		N/A		14.61	match	match	match	match
Enochrus ochropterus	1	1	monophyletic		N/A		13.31	match	match	match	match
Enochrus quadripunctatus	4	4	monophyletic		1.08		11.49	match	match	match	match
Enochrus testaceus	6	2	monophyletic		0.15		11.49	match	match	match	match
Ephistemus globulus	1	1	monophyletic		N/A		15.14	match	match	match	match
Epuraea aestiva	5	5	monophyletic		1.54	1.07	16.00	match	split	match	match
Epuraea biguttata	2	2	monophyletic		0.46		8.24	match	match	match	match
Epuraea boreella	3	2	monophyletic		0.46		6.04	match	match	match	match
Epuraea contractula	3	1	monophyletic		0.00		8.60	match	match	match	match
Epuraea laeviuscula	1	1	monophyletic		N/A		7.80	match	match	match	match
Epuraea marseuli	2	2	monophyletic		0.16		11.21	match	match	match	match
Epuraea opalizans	4	3	monophyletic		0.30		6.04	match	match	match	match
Epuraea pallescens	3	1	monophyletic		0.00		11.70	match	match	match	match
Epuraea placida	1	1	monophyletic		N/A		7.65	match	match	match	match
Epuraea pygmaea	1	1	monophyletic		N/A		6.74	match	match	match	match
Epuraea rufomarginata	2	1	monophyletic		0.00		10.32	match	match	match	match
Epuraea silacea	4	1	monophyletic		0.00		9.97	match	match	match	match
Epuraea terminalis	2	2	monophyletic		0.15		7.65	match	match	match	match
Epuraea unicolor	2	1	monophyletic		0.00		8.24	match	match	match	match
Epuraea variegata	2	1	monophyletic		0.00		10.53	match	match	match	match
Erichsonius cinerascens	4	3	monophyletic		0.37		17.28	match	match	match	match
Ernobius explanatus	3	2	monophyletic		1.23		16.64	match	match	match	match
Euaesthetus bipunctatus	1	1	monophyletic		N/A		14.03	match	match	match	match
Euaesthetus laeviusculus	1	1	monophyletic		N/A		14.45	match	match	match	match
Eucinetus haemorrhoidalis	1	1	monophyletic		N/A		17.20	match	match	match	match
Eucnecosum brachypterum	8	5	monophyletic		3.61	2.80	8.07	split	split	split	split
Eucnecosum brunnescens	2	2	monophyletic		0.15		8.07	match	match	match	match
Euconnus hirticollis	1	1	monophyletic		N/A		16.02	match	match	match	match
Euryptilium saxonicum	1	1	monophyletic		N/A		14.77	match	match	match	match
Eusphalerum lapponicum	2	1	monophyletic		0.00		1.23	merge	merge	merge	merge
Eusphalerum minutum	5	1	monophyletic		0.00		13.48	match	match	match	match
Eusphalerum sorbicola	1	1	monophyletic		N/A		1.23	merge	merge	merge	merge
Evodinus borealis	2	2	monophyletic		0.30		12.39	match	match	match	match
Exocentrus lusitanus	5	3	monophyletic		0.46		17.58	match	match	match	match
Exochomus quadripustulatus	1	1	monophyletic		N/A		15.32	match	match	match	match
Fagniezia impressa	4	2	monophyletic		0.16		16.46	match	match	match	match
Falagria caesa	6	4	monophyletic		1.54	1.38	13.01	split	split	split	match
Fleutiauxellus maritimus	2	2	monophyletic		0.15		17.46	match	match	match	match
Gabrius appendiculatus	1	1	monophyletic		N/A		6.06	match	match	match	match
Gabrius breviventer	2	2	monophyletic		0.15		7.42	match	match	match	match
Gabrius osseticus	3	1	monophyletic		0.00		16.72	match	match	match	match
Gabrius piliger	1	1	monophyletic		N/A		14.40	match	match	match	match
Gabrius toxotes	4	2	monophyletic		2.64	2.48	6.06	match	split	match	split
Gabrius trossulus	3	3	monophyletic		0.93		14.26	match	match	match	match
Gabronthus sulcifrons	2	2	monophyletic		0.65		15.01	match	match	match	match
Galeruca tanaceti	3	3	monophyletic		1.86	1.49	12.21	match	match	match	match
Galerucella aquatica	1	1	monophyletic		N/A		0.17	merge	merge	mixture	merge
Galerucella calmariensis	3	2	paraphyletic	Galerucella pusilla	0.30		0.00	merge	merge	merge	merge
Galerucella lineola	3	3	monophyletic		0.30		6.88	match	match	match	match
Galerucella nymphaeae	4	4	polyphyletic	"Galerucella sagittariae,Galerucella aquatica,Galerucella sp."	1.54	1.38	0.00	merge	merge	mixture	merge
Galerucella pusilla	1	1	monophyletic		N/A		0.00	merge	merge	merge	merge
Galerucella sagittariae	7	6	polyphyletic	"Galerucella aquatica,Galerucella nymphaeae,Galerucella sp."	1.54	1.23	0.00	merge	merge	mixture	merge
Galerucella sp.	2	2			0.30						
Galerucella tenella	9	5	monophyletic		0.61		0.68	merge	match	match	merge
Gastrophysa polygoni	4	3	monophyletic		0.31		18.20	match	match	match	match
Gastrophysa viridula	2	1	monophyletic		0.00		13.61	match	match	match	match
Gaurotes virginea	5	1	monophyletic		0.00		12.74	match	match	match	match
Geodromicus longipes	1	1	monophyletic		N/A		12.15	match	match	match	match
Geodromicus plagiatus	1	1	monophyletic		N/A		11.64	match	match	match	match
Georissus crenulatus	1	1	monophyletic		N/A		15.11	match	match	match	match
Geostiba circellaris	2	1	monophyletic		0.00		14.22	match	match	match	match
Geotrupes stercorosus	1	1	monophyletic		N/A		14.18	match	match	match	match
Glischrochilus hortensis	2	2	monophyletic		0.65		17.37	match	match	match	match
Glischrochilus quadripunctatus	3	3	monophyletic		1.00		17.37	match	match	match	match
Gnathoncus buyssoni	1	1	monophyletic		N/A		20.09	match	match	match	match
Gnatocerus cornutus	1	1	monophyletic		N/A		17.70	match	match	match	match
Gnypeta caerulea	3	2	monophyletic		0.17		8.75	match	match	match	match
Gnypeta carbonaria	1	1	monophyletic		N/A		9.56	match	match	match	match
Gnypeta sellmani	3	1	monophyletic		0.00		8.75	match	match	match	match
Gonioctena arctica	5	3	monophyletic		0.31		10.15	match	match	match	match
Gonioctena decemnotata	2	2	monophyletic		0.17		8.88	match	match	match	match
Gonioctena flavicornis	4	2	monophyletic		0.30		8.25	match	match	match	match
Gonioctena intermedia	4	3	monophyletic		1.23		10.23	match	match	match	match
Gonioctena linnaeana	4	2	monophyletic		0.15		8.25	match	match	match	match
Gonioctena pallida	1	1	monophyletic		N/A		10.23	match	match	match	match
Gonioctena viminalis	1	1	monophyletic		N/A		9.12	match	match	match	match
Graphoderus zonatus	1	1	monophyletic		N/A		12.04	match	match	match	match
Grypus equiseti	2	2	monophyletic		0.77		25.72	match	match	match	match
Gymnetron melanarium	3	1	monophyletic		0.00		19.53	match	match	match	match
Gymnusa brevicollis	4	2	monophyletic		0.32		14.85	match	match	match	match
Gymnusa variegata	1	1	monophyletic		N/A		17.84	match	match	match	match
Gyrinus aeratus	3	3	monophyletic		0.61		4.75	match	match	match	match
Gyrinus marinus	1	1	monophyletic		N/A		4.75	match	match	match	match
Gyrinus minutus	2	2	monophyletic		0.77		10.27	match	match	match	match
Gyrinus natator	1	1	monophyletic		N/A		4.74	match	match	match	match
Gyrinus opacus	4	4	monophyletic		1.07		5.53	match	match	match	match
Gyrinus paykulli	1	1	monophyletic		N/A		5.71	match	match	match	match
Gyrinus substriatus	5	2	monophyletic		0.30		4.74	match	match	match	match
Gyrohypnus angustatus	5	2	monophyletic		0.61		15.69	match	match	match	match
Gyrophaena affinis	3	2	monophyletic		0.15		14.75	match	match	match	match
Gyrophaena bihamata	1	1	monophyletic		N/A		11.78	match	match	match	match
Gyrophaena boleti	2	1	monophyletic		0.00		15.30	match	match	match	match
Gyrophaena congrua	1	1	monophyletic		N/A		11.78	match	match	match	match
Gyrophaena fasciata	2	1	monophyletic		0.00		10.15	match	match	match	match
Gyrophaena joyioides	2	1	monophyletic		0.00		10.15	match	match	match	match
Gyrophaena strictula	1	1	monophyletic		N/A		12.21	match	match	match	match
Gyrophaena williamsi	1	1	monophyletic		N/A		12.21	match	match	match	match
Habrocerus capillaricornis	1	1	monophyletic		N/A		13.63	match	match	match	match
Hadrobregmus confusus	2	1	monophyletic		0.00		21.19	match	match	match	match
Haliplus fulvus	1	1	monophyletic		N/A		10.24	match	match	match	match
Haliplus immaculatus	3	3	monophyletic		0.30		5.06	match	match	match	match
Haliplus lineolatus	3	2	monophyletic		0.16		2.81	match	match	merge	match
Haliplus nr. lineolatus	1	1	monophyletic		N/A		3.45	match	match	match	match
Haliplus ruficollis	3	3	paraphyletic	"Haliplus ,Haliplus lineolatus,Haliplus nr. lineolatus"	2.49	2.33	3.93	match	split	split	split
Haliplus sibiricus	2	1	monophyletic		0.00		2.81	match	match	merge	match
Hallomenus axillaris	2	2	monophyletic		0.15		15.66	match	match	match	match
Halobrecta puncticeps	2	2	monophyletic		0.15		15.12	match	match	match	match
Halyzia sedecimguttata	8	5	monophyletic		7.83	4.43	11.67	split	split	split	split
Harminius undulatus	2	2	monophyletic		0.92		15.51	match	match	match	match
Harpalus affinis	5	1	monophyletic		0.00		1.23	merge	match	merge	merge
Harpalus distinguendus	1	1	monophyletic		N/A		1.23	merge	match	merge	merge
Harpalus laevipes	5	5	monophyletic		1.23		3.76	match	match	match	match
Harpalus latus	4	2	monophyletic		0.15		2.81	match	match	match	match
Harpalus luteicornis	1	1	monophyletic		N/A		4.07	match	match	match	match
Harpalus nigritarsis	1	1	monophyletic		N/A		1.85	match	match	merge	match
Harpalus rubripes	6	1	monophyletic		0.00		3.75	match	match	match	match
Harpalus rufipes	4	1	monophyletic		0.00		6.34	match	match	match	match
Harpalus smaragdinus	1	1	monophyletic		N/A		2.74	match	match	match	match
Harpalus solitaris	4	2	monophyletic		0.16		1.85	match	match	merge	match
Harpalus subcylindricus	1	1	monophyletic		N/A		2.32	merge	match	match	match
Harpalus tardus	5	4	monophyletic		0.48		3.28	match	match	match	match
Harpalus xanthopus	1	1	monophyletic		N/A		3.10	match	match	match	match
Hedobia imperialis	1	1	monophyletic		N/A		18.25	match	match	match	match
Helochares obscurus	2	2	monophyletic		1.30		14.47	match	match	match	match
Helophorus brevipalpis	7	2	monophyletic		1.70	1.70	12.08	split	split	match	match
Helophorus glacialis	1	1	monophyletic		N/A		13.08	match	match	match	match
Helophorus granularis	2	2	monophyletic		0.46		12.11	match	match	match	match
Helophorus lapponicus	1	1	monophyletic		N/A		12.49	match	match	match	match
Helophorus nanus	1	1	monophyletic		N/A		12.21	match	match	match	match
Helophorus nubilus	1	1	monophyletic		N/A		12.08	match	match	match	match
Helophorus pumilio	1	1	monophyletic		N/A		14.10	match	match	match	match
Helophorus strandi	1	1	monophyletic		N/A		12.21	match	match	match	match
Hemicrepidius niger	1	1	monophyletic		N/A		17.08	match	match	match	match
Heterocerus fenestratus	1	1	monophyletic		N/A		12.61	match	match	match	match
Heterocerus hispidulus	1	1	monophyletic		N/A		16.93	match	match	match	match
Heterothops quadripunctulus	1	1	monophyletic		N/A		17.06	match	match	match	match
Hippodamia septemmaculata	2	2	paraphyletic	Hippodamia tredecimpunctata	1.08		0.00	merge	merge	merge	merge
Hippodamia tredecimpunctata	5	4	monophyletic		0.46		0.00	merge	merge	merge	merge
Hippodamia variegata	3	3	monophyletic		0.77		14.75	match	match	match	match
Hippuriphila modeeri	1	1	monophyletic		N/A		15.74	match	match	match	match
Holobus apicatus	1	1	monophyletic		N/A		15.88	match	match	match	match
Holobus flavicornis	1	1	monophyletic		N/A		16.25	match	match	match	match
Hololepta plana	1	1	monophyletic		N/A		18.60	match	match	match	match
Homalota plana	1	1	monophyletic		N/A		13.09	match	match	match	match
Hoshihananomia perlata	2	2	monophyletic		0.48		23.08	match	match	match	match
Hydaticus aruspex	2	2	monophyletic		5.76	5.76	5.53	split	split	split	split
Hydaticus seminiger	1	1	monophyletic		N/A		5.53	match	match	match	match
Hydaticus transversalis	1	1	monophyletic		N/A		8.64	match	match	match	match
Hydnobius septentrionalis	1	1	monophyletic		N/A		16.92	match	match	match	match
Hydnobius spinipes	4	3	monophyletic		0.61		19.36	match	match	match	match
Hydraena britteni	4	4	monophyletic		8.95	8.59	13.66	split	split	split	split
Hydraena gracilis	1	1	monophyletic		N/A		13.66	match	match	match	match
Hydrobius fuscipes	12	8	monophyletic		7.58	[includes three species]	14.73	split	split	split	split
Hydrochus brevis	5	2	monophyletic		0.16		12.05	match	match	match	match
Hydrochus megaphallus	1	1	monophyletic		N/A		12.05	match	match	match	match
Hydroglyphus geminus	4	2	monophyletic		0.15		13.49	match	match	match	match
Hydrophilus aterrimus	5	2	monophyletic		0.48		17.72	match	match	match	match
Hydroporus angustatus	6	5	monophyletic		0.61		9.96	match	match	match	match
Hydroporus erythrocephalus	5	5	monophyletic		1.24		7.91	match	match	match	match
Hydroporus fuscipennis	1	1	monophyletic		N/A		9.73	match	match	match	match
Hydroporus geniculatus	7	3	monophyletic		2.81	2.50	7.87	split	match	match	split
Hydroporus gyllenhalii	1	1	monophyletic		N/A		6.11	match	match	match	match
Hydroporus incognitus	2	2	monophyletic		0.92		5.64	match	match	match	match
Hydroporus memnonius	4	2	monophyletic		3.46	3.46	10.26	split	split	match	split
Hydroporus morio	3	3	monophyletic		2.81	2.65	7.52	split	match	split	split
Hydroporus neglectus	1	1	monophyletic		N/A		9.96	match	match	match	match
Hydroporus nigrita	2	2	monophyletic		0.46		7.02	match	match	match	match
Hydroporus notabilis	3	3	monophyletic		2.96	2.80	8.37	split	split	match	split
Hydroporus obscurus	2	2	monophyletic		0.30		7.52	match	match	match	match
Hydroporus palustris	6	4	monophyletic		1.70	0.76	7.63	match	match	match	match
Hydroporus planus	2	2	monophyletic		1.54	1.54	9.05	match	match	match	split
Hydroporus pubescens	3	3	monophyletic		0.46		7.02	match	match	match	match
Hydroporus rufifrons	3	2	monophyletic		0.15		7.68	match	match	match	match
Hydroporus striola	1	1	monophyletic		N/A		5.64	match	match	match	match
Hydroporus submuticus	2	1	monophyletic		0.00		7.87	match	match	match	match
Hydroporus tristis	6	3	monophyletic		0.30		6.11	match	match	match	match
Hydroporus umbrosus	3	3	monophyletic		0.46		10.28	match	match	match	match
Hydrosmecta longula	1	1	monophyletic		N/A		11.65	match	match	match	match
Hydrothassa hannoveriana	5	1	monophyletic		0.00		6.41	match	match	match	match
Hydrothassa marginella	4	1	monophyletic		0.00		6.41	match	match	match	match
Hygronoma dimidiata	3	2	monophyletic		0.15		13.27	match	match	match	match
Hygropora cunctans	1	1	monophyletic		N/A		9.39	match	match	match	match
Hygrotus decoratus	1	1	monophyletic		N/A		11.65	match	match	match	match
Hygrotus impressopunctatus	2	2	monophyletic		1.61	1.61	13.07	match	match	match	split
Hygrotus inaequalis	4	3	monophyletic		0.46		14.33	match	match	match	match
Hygrotus marklini	5	4	monophyletic		0.76		9.70	match	match	match	match
Hygrotus novemlineatus	7	3	monophyletic		0.32		9.70	match	match	match	match
Hygrotus quinquelineatus	4	3	monophyletic		2.97	2.81	15.27	split	split	match	split
Hylastes brunneus	1	1	monophyletic		N/A		16.19	match	match	match	match
Hylastes cunicularius	2	2	monophyletic		0.30		16.19	match	match	match	match
Hylastes opacus	4	2	monophyletic		0.15		18.84	match	match	match	match
Hylecoetus dermestoides	3	2	monophyletic		0.15		18.62	match	match	match	match
Hylesinus crenatus	6	4	monophyletic		0.92		18.27	match	match	match	match
Hylobius abietis	5	4	monophyletic		0.30		15.92	match	match	match	match
Hylobius piceus	3	2	monophyletic		1.75	1.52	15.92	match	split	match	match
Hylotrupes bajulus	1	1	monophyletic		N/A		17.30	match	match	match	match
Hylurgops glabratus	2	2	monophyletic		0.16		18.57	match	match	match	match
Hylurgops palliatus	2	2	monophyletic		0.15		18.72	match	match	match	match
Hypera arator	4	4	monophyletic		10.98	10.61	11.54	split	split	split	split
Hypera dauci	1	1	monophyletic		N/A		14.39	match	match	match	match
Hypera denominanda	1	1	monophyletic		N/A		5.73	match	match	match	match
Hypera fornicata	1	1	monophyletic		N/A		2.81	match	match	merge	merge
Hypera meles	2	2	monophyletic		1.54	1.54	2.81	split	match	merge	merge
Hypera nigrirostris	5	3	monophyletic		1.94	1.61	5.29	split	split	match	match
Hypera plantaginis	1	1	monophyletic		N/A		13.35	match	match	match	match
Hypera pollux	2	2	monophyletic		0.30		9.22	match	match	match	match
Hypera postica	4	2	monophyletic		0.15		5.73	match	match	match	match
Hypera rumicis	4	1	monophyletic		0.16		12.23	match	match	match	match
Hypera suspiciosa	6	4	monophyletic		5.75	4.77	9.10	match	split	split	split
Hypera venusta	1	1	monophyletic		N/A		6.00	match	match	match	match
Hypera viciae	4	1	monophyletic		0.00		9.74	match	match	match	match
Hypera zoilus	1	1	monophyletic		N/A		13.32	match	match	match	match
Hyphydrus ovatus	3	3	monophyletic		1.54	1.54	12.57	match	match	match	split
Hypnoidus riparius	6	1	monophyletic		0.00		13.16	match	match	match	match
Hypnoidus rivularius	4	4	monophyletic		2.00	1.69	13.16	match	match	match	match
Hypocaccus rugifrons	5	2	monophyletic		0.16		17.19	match	match	match	match
Ilybius aenescens	3	2	monophyletic		0.15		8.77	match	match	match	match
Ilybius angustior	1	1	monophyletic		N/A		0.15	merge	merge	merge	merge
Ilybius ater	6	2	monophyletic		0.16		10.15	match	match	match	match
Ilybius chalconatus	7	2	monophyletic		0.30		11.51	match	match	match	match
Ilybius crassus	3	3	monophyletic		1.70	1.54	10.15	match	match	match	split
Ilybius erichsoni	1	1	monophyletic		N/A		6.41	match	match	match	match
Ilybius fenestratus	3	2	monophyletic		0.46		8.77	match	match	match	match
Ilybius fuliginosus	4	3	monophyletic		0.32		9.04	match	match	match	match
Ilybius guttiger	3	1	monophyletic		0.00		1.63	match	merge	match	merge
Ilybius picipes	1	1	monophyletic		N/A		0.16	merge	merge	merge	merge
Ilybius quadriguttatus	3	2	monophyletic		0.30		1.63	match	merge	match	merge
Ilybius subtilis	2	2	monophyletic		0.30		6.41	match	match	match	match
Ilybius wasastjernai	2	2	monophyletic		0.61		12.44	match	match	match	match
Ilybius vittiger	1	1	monophyletic		N/A		11.61	match	match	match	match
Ipidia binotata	3	2	monophyletic		0.15		16.79	match	match	match	match
Ischnoglossa obscura	2	2	monophyletic		0.15		12.72	match	match	match	match
Ischnopoda leucopus	3	1	monophyletic		0.00		12.33	match	match	match	match
Ischnosoma longicorne	3	2	monophyletic		1.07		13.85	match	match	match	match
Ischnosoma splendidum	5	3	monophyletic		0.30		13.85	match	match	match	match
Isomira murina	3	1	monophyletic		0.00		16.89	match	match	match	match
Judolia sexmaculata	5	5	monophyletic		1.54	0.92	17.07	match	match	match	match
Kateretes pedicularius	1	1	monophyletic		N/A		11.58	match	match	match	match
Kateretes pusillus	5	4	monophyletic		10.72	9.67	11.58	split	split	split	split
Labidostomis tridentata	4	2	monophyletic		0.98		21.29	match	match	match	match
Laccobius decorus	2	2	monophyletic		0.30		14.43	match	match	match	match
Laccobius minutus	6	4	monophyletic		1.07		12.56	match	match	match	match
Laccobius sinuatus	1	1	monophyletic		N/A		5.89	match	match	match	match
Laccobius striatulus	2	2	monophyletic		0.46		5.89	match	match	match	match
Laccophilus hyalinus	2	1	monophyletic		0.00		14.81	match	match	match	match
Laccophilus minutus	2	1	monophyletic		0.00		11.32	match	match	match	match
Lacon conspersus	5	2	monophyletic		0.30		8.24	match	match	match	match
Lacon fasciatus	3	2	monophyletic		1.43	1.39	8.24	match	split	match	match
Lagria hirta	6	5	monophyletic		0.77		15.12	match	match	match	match
Lamia textor	4	4	monophyletic		1.38		15.73	match	match	match	match
Lampyris noctiluca	5	3	monophyletic		7.41	7.20	18.58	split	split	split	split
Larinus sturnus	2	2	monophyletic		0.15		15.51	match	match	match	match
Lathrobium brunnipes	4	2	monophyletic		0.15		12.57	match	match	match	match
Lathrobium elongatum	2	2	monophyletic		0.18		3.78	merge	match	match	match
Lathrobium fulvipenne	3	2	monophyletic		0.15		11.66	match	match	match	match
Lathrobium geminum	5	4	monophyletic		2.64	2.48	6.81	split	split	match	split
Lathrobium impressum	3	3	monophyletic		1.38		6.97	match	match	match	match
Lathrobium longulum	3	3	monophyletic		0.76		12.16	match	match	match	match
Lathrobium rufipenne	1	1	monophyletic		N/A		3.78	merge	match	match	match
Latridius consimilis	2	2	monophyletic		4.75	4.75	17.04	match	split	split	split
Latridius gemellatus	1	1	monophyletic		N/A		16.78	match	match	match	match
Lebia chlorocephala	1	1	monophyletic		N/A		10.27	match	match	match	match
Lebia cruxminor	2	2	monophyletic		0.61		10.27	match	match	match	match
Leiodes calcarata	1	1	monophyletic		N/A		14.68	match	match	match	match
Leiodes ferruginea	2	2	monophyletic		0.77		16.14	match	match	match	match
Leiodes fracta	1	1	monophyletic		N/A		15.94	match	match	match	match
Leiodes inordinata	1	1	monophyletic		N/A		17.88	match	match	match	match
Leiodes obesa	6	4	monophyletic		2.05	1.44	14.17	match	match	match	match
Leiodes picea	3	3	monophyletic		0.48		14.17	match	match	match	match
Leiodes ruficollis	1	1	monophyletic		N/A		17.59	match	match	match	match
Leiodes silesiaca	2	2	monophyletic		0.30		14.99	match	match	match	match
Leiodes triepkii	3	1	monophyletic		0.00		17.02	match	match	match	match
Leiopus linnei	2	1	monophyletic		0.00		12.75	match	match	match	match
Leiopus nebulosus	4	2	monophyletic		0.15		12.75	match	match	match	match
Leistus ferrugineus	3	1	monophyletic		0.00		5.98	match	match	match	match
Leistus terminatus	1	1	monophyletic		N/A		5.98	match	match	match	match
Leptacinus formicetorum	2	1	paraphyletic	Leptacinus intermedius	0.00		0.00	merge	merge	merge	merge
Leptacinus intermedius	3	2	monophyletic		0.15		0.00	merge	merge	merge	merge
Leptura maculata	2	2	monophyletic		0.32		13.77	match	match	match	match
Leptura melanura	6	4	monophyletic		0.96		17.50	match	match	split	match
Leptura nigra	2	2	monophyletic		0.16		16.66	match	match	match	match
Leptura nigripes	1	1	monophyletic		N/A		16.43	match	match	match	match
Leptura quadrifasciata	7	3	monophyletic		0.48		14.51	match	match	match	match
Lepturobosca virens	3	3	monophyletic		0.46		17.42	match	match	match	match
Leptusa fumida	1	1	monophyletic		N/A		13.63	match	match	match	match
Lesteva monticola	2	1	monophyletic		0.00		14.65	match	match	match	match
Licinus depressus	2	1	monophyletic		0.00		10.68	match	match	match	match
Lilioceris lilii	4	1	monophyletic		0.00		16.44	match	match	match	match
Lilioceris merdigera	6	5	monophyletic		1.62	1.39	16.44	match	match	match	match
Limnius volckmari	1	1	monophyletic		N/A		19.03	match	match	match	match
Limnobaris pilistriata	4	4	monophyletic		0.92		11.29	match	match	match	match
Limnobaris t-album	4	2	monophyletic		2.49	2.49	11.29	match	split	match	match
