Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Agabus unguicularis	2	2	monophyletic		0.15		8.75	match	match	match	match
Agapanthia villosoviridescens	4	2	monophyletic		1.07		19.72	match	match	match	match
Agathidium arcticum	1	1	monophyletic		N/A		13.30	match	match	match	match
Agathidium seminulum	1	1	monophyletic		N/A		12.56	match	match	match	match
Agelastica alni	4	1	monophyletic		0.00		15.88	match	match	match	match
Agonum consimile	3	2	monophyletic		0.15		7.38	match	match	match	match
Agonum emarginatum	6	4	monophyletic		1.08		2.69	match	match	split	match
Agonum ericeti	3	3	paraphyletic	Agonum sexpunctatum	0.30		0.00	merge	merge	merge	merge
Agonum fuliginosum	8	6	monophyletic		0.46		8.20	match	match	match	match
Agonum gracile	1	1	monophyletic		N/A		4.26	match	match	match	match
Agonum hypocrita	3	2	monophyletic		0.15		2.17	match	match	match	match
Agonum marginatum	4	2	monophyletic		0.46		5.07	match	match	match	match
Agonum muelleri	2	2	monophyletic		0.97		5.07	match	match	match	match
Agonum piceum	3	3	monophyletic		0.31		4.26	match	match	match	match
Agonum sexpunctatum	5	1	monophyletic		0.00		0.00	merge	merge	merge	merge
Agonum thoreyi	6	4	monophyletic		0.46		7.38	match	match	match	match
Agonum viduum	7	2	monophyletic		0.16		2.17	match	match	match	match
Agrilus angustulus	3	2	monophyletic		0.76		16.86	match	match	match	match
Agrilus betuleti	2	2	monophyletic		0.15		20.83	match	match	match	match
Agrilus mendax	1	1	monophyletic		N/A		17.43	match	match	match	match
Agrilus pratensis	1	1	monophyletic		N/A		19.26	match	match	match	match
Agrilus subauratus	1	1	monophyletic		N/A		21.78	match	match	match	match
Agrilus sulcicollis	4	2	monophyletic		0.46		16.86	match	match	match	match
Agrilus suvorovi	1	1	monophyletic		N/A		3.40	match	match	match	match
Agrilus viridis	44	10	paraphyletic	Agrilus suvorovi	6.90	4.83	3.40	split	split	split	split
Agriotes lineatus	6	4	monophyletic		0.92		4.43	match	match	match	match
Agriotes obscurus	3	2	monophyletic		0.77		4.43	match	match	match	match
Agriotes sputator	2	1	monophyletic		0.00		12.81	match	match	match	match
Agrypnus murinus	5	2	monophyletic		0.15		17.54	match	match	match	match
Ahasverus advena	3	2	monophyletic		0.30		21.37	match	match	match	match
Aleochara bipustulata	4	2	monophyletic		0.30		10.43	match	match	match	match
Aleochara brevipennis	5	2	monophyletic		0.15		10.60	match	match	match	match
Aleochara brundini	6	2	monophyletic		0.61		10.43	match	match	match	match
Aleochara curtula	3	2	monophyletic		0.46		11.04	match	match	match	match
Aleochara grisea	3	2	monophyletic		0.15		11.20	match	match	match	match
Aleochara inconspicua	5	2	monophyletic		0.30		12.01	match	match	match	match
Aleochara intricata	1	1	monophyletic		N/A		13.64	match	match	match	match
Aleochara lanuginosa	4	4	monophyletic		1.07		11.47	match	match	match	match
Aleochara moerens	6	4	monophyletic		0.61		11.67	match	match	match	match
Aleochara sparsa	1	1	monophyletic		N/A		11.20	match	match	match	match
Alianta incana	5	2	monophyletic		0.15		12.13	match	match	match	match
Aloconota gregaria	7	3	monophyletic		1.11		12.01	match	match	match	match
Aloconota insecta	2	1	monophyletic		0.00		10.96	match	match	match	match
Alosterna tabacicolor	5	4	monophyletic		0.61		17.06	match	match	split	match
Alphitophagus bifasciatus	2	1	monophyletic		0.00		12.37	match	match	match	match
Altica brevicollis	3	1	monophyletic		0.00		0.46	merge	merge	mixture	merge
Altica carinthiaca	2	1	monophyletic		0.00		4.78	match	match	match	match
Altica chamaenerii	7	3	paraphyletic	"Altica brevicollis,Altica longicollis"	1.94	1.36	0.46	merge	merge	mixture	merge
Altica engstromi	8	5	monophyletic		2.17	0.50	1.72	merge	merge	match	merge
Altica longicollis	1	1	monophyletic		N/A		0.84	merge	merge	mixture	merge
Altica opacifrons	3	1	monophyletic		0.00		11.25	match	match	match	match
Altica palustris	5	1	monophyletic		0.00		4.78	match	match	match	match
Amalus scortillum	1	1	monophyletic		N/A		17.61	match	match	match	match
Amara aenea	5	3	monophyletic		0.49		4.19	match	match	match	match
Amara alpina	3	2	paraphyletic	Amara torrida	1.07		0.00	merge	merge	merge	merge
Amara apricaria	2	1	monophyletic		0.00		10.72	match	match	match	match
Amara aulica	5	1	monophyletic		0.00		7.68	match	match	match	match
Amara bifrons	3	2	monophyletic		0.77		11.26	match	match	match	match
Amara brunnea	4	2	monophyletic		0.15		11.14	match	match	match	match
Amara communis	4	2	monophyletic		0.30		4.06	match	match	match	match
Amara consularis	3	1	monophyletic		0.00		9.11	match	match	match	match
Amara convexiuscula	1	1	monophyletic		N/A		3.12	match	match	match	match
Amara cursitans	1	1	monophyletic		N/A		7.38	match	match	match	match
Amara equestris	2	1	monophyletic		0.00		8.04	match	match	match	match
Amara erratica	3	3	monophyletic		0.46		4.87	match	match	match	match
Amara eurynota	1	1	monophyletic		N/A		5.86	match	match	match	match
Amara famelica	3	3	monophyletic		0.77		4.55	match	match	match	match
Amara familiaris	4	1	monophyletic		0.00		0.15	merge	merge	merge	merge
Amara fulva	3	2	monophyletic		0.77		9.77	match	match	match	match
Amara gebleri	2	2	monophyletic		0.16		7.68	match	match	match	match
Amara hyperborea	1	1	monophyletic		N/A		6.88	match	match	match	match
Amara ingenua	3	1	monophyletic		0.00		6.87	match	match	match	match
Amara lucida	1	1	monophyletic		N/A		0.15	merge	merge	merge	merge
Amara lunicollis	4	3	monophyletic		0.30		4.06	match	match	match	match
Amara majuscula	3	1	monophyletic		0.00		10.72	match	match	match	match
Amara municipalis	4	1	monophyletic		0.00		6.87	match	match	match	match
Amara ovata	6	1	monophyletic		0.00		0.92	merge	merge	merge	merge
Amara plebeja	5	3	monophyletic		0.48		5.85	match	match	match	match
Amara quenseli	4	3	monophyletic		0.31		8.04	match	match	match	match
Amara similata	2	1	monophyletic		0.00		0.92	merge	merge	merge	merge
Amara tibialis	3	1	monophyletic		0.00		5.85	match	match	match	match
Amara torrida	4	2	paraphyletic	Amara alpina	0.92		0.00	merge	merge	merge	merge
Amischa analis	5	4	paraphyletic	Amischa bifoveolata	0.46		0.00	merge	merge	merge	merge
Amischa bifoveolata	3	1	monophyletic		0.00		0.00	merge	merge	merge	merge
Amischa decipiens	1	1	monophyletic		N/A		11.49	match	match	match	match
Ampedus balteatus	8	3	monophyletic		0.76		8.81	match	match	match	match
Ampedus nigrinus	1	1	monophyletic		N/A		11.28	match	match	match	match
Ampedus pomonae	1	1	monophyletic		N/A		1.85	merge	match	match	merge
Ampedus pomorum	3	1	monophyletic		0.00		10.39	match	match	match	match
Ampedus sanguinolentus	3	2	monophyletic		0.48		1.85	merge	match	match	merge
Ampedus suecicus	1	1	monophyletic		N/A		6.08	match	match	match	match
Ampedus tristis	4	4	monophyletic		1.23		6.08	match	match	match	match
Amphicyllis globus	3	2	monophyletic		0.15		13.00	match	match	match	match
Amphimallon solstitiale	6	2	monophyletic		0.17		18.35	match	match	match	match
Anacaena globulus	3	1	monophyletic		0.00		14.00	match	match	match	match
Anacaena lutescens	6	4	monophyletic		0.61		15.30	match	match	match	match
Anaglyptus mysticus	2	1	monophyletic		0.00		16.19	match	match	match	match
Anaspis arctica	6	3	monophyletic		0.46		14.16	match	match	match	match
Anaspis bohemica	2	2	monophyletic		4.91	4.91	15.58	match	split	split	split
Anaspis brunnipes	1	1	monophyletic		N/A		15.50	match	match	match	match
Anaspis flava	3	1	monophyletic		0.00		13.11	match	match	match	match
Anaspis frontalis	4	4	monophyletic		0.76		14.59	match	match	match	match
Anaspis rufilabris	6	4	monophyletic		0.77		13.11	match	match	match	match
Anaspis thoracica	3	1	monophyletic		0.00		14.16	match	match	match	match
Anatis ocellata	3	2	monophyletic		1.07		12.24	match	match	match	match
Anaulacaspis nigra	3	1	monophyletic		0.00		13.30	match	match	match	match
Anchomenus dorsalis	3	2	monophyletic		0.15		6.44	match	match	match	match
Anidorus nigrinus	2	1	monophyletic		0.00		15.76	match	match	match	match
Anisodactylus binotatus	3	2	monophyletic		0.16		6.67	match	match	match	match
Anisosticta novemdecimpunctata	7	6	monophyletic		1.54	0.92	13.45	match	match	match	match
Anisotoma axillaris	3	2	monophyletic		0.61		4.10	match	match	match	match
Anisotoma castanea	1	1	monophyletic		N/A		11.51	match	match	match	match
Anisotoma glabra	4	2	monophyletic		0.15		11.51	match	match	match	match
Anisotoma humeralis	3	3	monophyletic		0.46		4.10	match	match	match	match
Anisotoma orbicularis	1	1	monophyletic		N/A		12.56	match	match	match	match
Anobium punctatum	1	1	monophyletic		N/A		19.13	match	match	match	match
Anobium rufipes	1	1	monophyletic		N/A		18.97	match	match	match	match
Anomala dubia	6	3	monophyletic		0.32		15.46	match	match	match	match
Anomognathus cuspidatus	2	2	monophyletic		10.43	10.43	12.08	split	split	split	split
Anoplodera maculicornis	3	1	monophyletic		0.00		13.63	match	match	match	match
Anoplodera reyi	5	3	monophyletic		0.32		11.69	match	match	match	match
Anoplodera rubra	3	2	monophyletic		2.97	2.97	11.69	match	split	match	split
Anoplodera sanguinolenta	6	6	monophyletic		0.77		12.62	match	match	match	match
Anoplodera sexguttata	1	1	monophyletic		N/A		15.67	match	match	match	match
Anoplus plantaris	3	1	monophyletic		0.00		17.93	match	match	match	match
Anostirus castaneus	2	2	monophyletic		0.30		16.62	match	match	match	match
Anotylus clavatus	1	1	monophyletic		N/A		16.07	match	match	match	match
Anotylus insecatus	1	1	monophyletic		N/A		11.81	match	match	match	match
Anotylus rugosus	5	3	monophyletic		5.30	4.93	11.81	split	split	split	split
Anthaxia quadripunctata	5	1	monophyletic		0.00		17.99	match	match	match	match
Antherophagus pallens	1	1	monophyletic		N/A		19.94	match	match	match	match
Anthicus antherinus	5	3	monophyletic		0.30		12.39	match	match	match	match
Anthicus ater	6	2	monophyletic		0.15		13.46	match	match	match	match
Anthicus flavipes	5	5	monophyletic		1.86	0.61	12.39	match	match	match	match
Anthicus sellatus	2	1	monophyletic		0.00		13.70	match	match	match	match
Anthobium atrocephalum	6	2	monophyletic		0.15		11.77	match	match	match	match
Anthobium unicolor	1	1	monophyletic		N/A		11.77	match	match	match	match
Anthocomus fasciatus	2	1	monophyletic		0.00		12.39	match	match	match	match
Anthocomus rufus	3	1	monophyletic		0.00		12.39	match	match	match	match
Anthonomus conspersus	2	2	monophyletic		0.30		14.67	match	match	match	match
Anthonomus phyllocola	2	2	monophyletic		0.80		0.16	merge	merge	merge	merge
Anthonomus pinivorax	3	1	monophyletic		0.00		0.16	merge	merge	merge	merge
Anthonomus pomorum	4	2	monophyletic		0.61		16.93	match	match	match	match
Anthonomus rectirostris	1	1	monophyletic		N/A		14.67	match	match	match	match
Anthonomus rubi	7	6	monophyletic		0.67		17.00	match	match	match	match
Anthophagus alpinus	4	4	monophyletic		0.30		11.71	match	match	match	match
Anthophagus angusticollis	1	1	monophyletic		N/A		7.38	match	match	match	match
Anthophagus caraboides	2	2	monophyletic		1.63	1.63	13.75	match	match	match	split
Anthophagus omalinus	2	1	monophyletic		0.00		7.38	match	match	match	match
Anthrenus museorum	4	2	monophyletic		0.15		19.71	match	match	match	match
Anthrenus scrophulariae	3	2	monophyletic		0.16		17.79	match	match	match	match
