Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Agrilus betuleti	2	2	monophyletic		0.15		20.83	match	match	match	match	0	N/A
Agrilus mendax	1	1	monophyletic		N/A		17.43	match	match	match	match	0	N/A
Agrilus pratensis	1	1	monophyletic		N/A		19.26	match	match	match	match	0	N/A
Agrilus subauratus	1	1	monophyletic		N/A		21.78	match	match	match	match	0	N/A
Agrilus sulcicollis	4	2	monophyletic		0.46		16.86	match	match	match	match	157.21	121.77
Agrilus suvorovi	1	1	monophyletic		N/A		3.40	match	match	match	match	0	N/A
Agrilus viridis	44	10	paraphyletic	Agrilus suvorovi	6.90	4.83	3.40	split	split	split	split	297.49	245.31
Agriotes lineatus	6	4	monophyletic		0.92		4.43	match	match	match	match	219.27	118.31
Agriotes obscurus	3	2	monophyletic		0.77		4.43	match	match	match	match	549.71	229.86
Agriotes sputator	2	1	monophyletic		0.00		12.81	match	match	match	match	0	N/A
Agrypnus murinus	5	2	monophyletic		0.15		17.54	match	match	match	match	356.03	295.92
Ahasverus advena	3	2	monophyletic		0.30		21.37	match	match	match	match	335.66	290.69
Aleochara bipustulata	4	2	monophyletic		0.30		10.43	match	match	match	match	351.91	207.83
Aleochara brevipennis	5	2	monophyletic		0.15		10.60	match	match	match	match	467.84	232.21
Aleochara brundini	6	2	monophyletic		0.61		10.43	match	match	match	match	254.01	207.30
Aleochara curtula	3	2	monophyletic		0.46		11.04	match	match	match	match	0.00	0.00
Aleochara grisea	3	2	monophyletic		0.15		11.20	match	match	match	match	0.00	0.00
Aleochara inconspicua	5	2	monophyletic		0.30		12.01	match	match	match	match	308.90	265.82
Aleochara intricata	1	1	monophyletic		N/A		13.64	match	match	match	match	0	N/A
Aleochara lanuginosa	4	4	monophyletic		1.07		11.47	match	match	match	match	221.65	170.84
Aleochara moerens	6	4	monophyletic		0.61		11.67	match	match	match	match	135.63	193.55
Aleochara sparsa	1	1	monophyletic		N/A		11.20	match	match	match	match	0	N/A
Alianta incana	5	2	monophyletic		0.15		12.13	match	match	match	match	210.25	180.95
Aloconota gregaria	7	3	monophyletic		1.11		12.01	match	match	match	match	456.74	255.04
Aloconota insecta	2	1	monophyletic		0.00		10.96	match	match	match	match	0	N/A
Alosterna tabacicolor	5	4	monophyletic		0.61		17.06	match	match	split	match	528.48	378.45
Alphitophagus bifasciatus	2	1	monophyletic		0.00		12.37	match	match	match	match	0	N/A
Altica brevicollis	3	1	monophyletic		0.00		0.46	merge	merge	mixture	merge	0.00	0.00
Altica carinthiaca	2	1	monophyletic		0.00		4.78	match	match	match	match	0	N/A
Altica chamaenerii	7	3	paraphyletic	"Altica brevicollis,Altica longicollis"	1.94	1.36	0.46	merge	merge	mixture	merge	194.43	140.51
Altica engstromi	8	5	monophyletic		2.17	0.50	1.72	merge	merge	match	merge	421.37	367.49
Altica longicollis	1	1	monophyletic		N/A		0.84	merge	merge	mixture	merge	0	N/A
Altica opacifrons	3	1	monophyletic		0.00		11.25	match	match	match	match	631.32	546.74
