Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Cis boleti	2	1	monophyletic		0.00		14.07	match	match	match	match	0	N/A
Cis castaneus	1	1	monophyletic		N/A		8.20	match	match	match	match	0	N/A
Cis comptus	2	2	monophyletic		0.15		18.21	match	match	match	match	0	N/A
Cis dentatus	1	1	monophyletic		N/A		12.93	match	match	match	match	0	N/A
Cis glabratus	1	1	monophyletic		N/A		18.70	match	match	match	match	0	N/A
Cis jacquemartii	1	1	monophyletic		N/A		8.20	match	match	match	match	0	N/A
Cis micans	1	1	monophyletic		N/A		14.07	match	match	match	match	0	N/A
Cis punctulatus	1	1	monophyletic		N/A		18.21	match	match	match	match	0	N/A
Clambus lohsei	1	1	monophyletic		N/A		17.86	match	match	match	match	0	N/A
Cleopomiarus distinctus	3	1	monophyletic		0.00		14.04	match	match	match	match	0.00	0.00
Cleopomiarus graminis	1	1	monophyletic		N/A		14.04	match	match	match	match	0	N/A
Cleopus pulchellus	3	2	monophyletic		0.46		18.36	match	match	match	match	0.00	0.00
Clivina fossor	4	3	monophyletic		0.46		12.94	match	match	match	match	357.97	210.07
Clytra quadripunctata	4	1	monophyletic		0.00		19.92	match	match	match	match	97.60	50.02
Clytus arietis	2	2	monophyletic		0.16		17.87	match	match	match	match	0	N/A
Coccidula rufa	4	4	monophyletic		3.12	2.49	16.10	match	match	split	split	501.94	324.26
Coccidula scutellata	4	3	monophyletic		0.77		16.10	match	match	match	match	161.21	100.17
Coccinella hieroglyphica	1	1	monophyletic		N/A		4.17	merge	match	match	match	0	N/A
Coccinella quinquepunctata	1	1	monophyletic		N/A		4.17	merge	match	match	match	0	N/A
Coccinella septempunctata	3	2	monophyletic		0.33		13.41	match	match	match	match	129.25	110.93
Coccinella trifasciata	1	1	monophyletic		N/A		10.65	match	match	match	match	0	N/A
Coccinella undecimpunctata	5	2	monophyletic		0.30		12.42	match	match	match	match	984.75	591.72
Coccinula quatuordecimpustulata	5	4	monophyletic		1.23		14.08	match	match	match	match	637.22	411.62
Coeliastes lamii	3	3	monophyletic		2.97	2.57	14.78	match	split	split	split	0.00	0.00
Coeliodes rubicundus	2	2	monophyletic		0.16		18.56	match	match	match	match	0	N/A
Coelostoma orbiculare	5	4	monophyletic		1.85	1.69	16.63	match	match	match	match	483.23	245.43
Colenis immunda	2	2	monophyletic		1.86	1.86	14.41	match	match	split	match	0	N/A
Colon appendiculatum	5	1	monophyletic		0.00		10.10	match	match	match	match	178.17	153.34
Colon bidentatum	1	1	monophyletic		N/A		8.54	match	match	match	match	0	N/A
Colon latum	1	1	monophyletic		N/A		4.56	match	match	match	match	0	N/A
Colon pseudolatum	1	1	monophyletic		N/A		4.56	match	match	match	match	0	N/A
Colon serripes	2	2	monophyletic		0.46		8.54	match	match	match	match	0	N/A
Colymbetes dolabratus	1	1	monophyletic		N/A		9.31	match	match	match	match	0	N/A
Colymbetes paykulli	4	4	monophyletic		1.39		9.31	match	match	match	match	318.82	328.37
Cordalia obscura	5	2	monophyletic		0.30		12.90	match	match	match	match	413.65	257.72
Cordylepherus viridis	6	4	monophyletic		0.46		12.11	match	match	match	match	154.18	115.74
Corticaria abietorum	1	1	monophyletic		N/A		7.72	match	match	match	match	0	N/A
Corticaria crenulata	1	1	monophyletic		N/A		10.78	match	match	match	match	0	N/A
Corticaria elongata	5	5	monophyletic		0.67		11.29	match	match	match	match	206.64	122.96
Corticaria foveola	2	1	monophyletic		0.00		7.72	match	match	match	match	0	N/A
Corticaria impressa	5	1	monophyletic		0.00		13.36	match	match	match	match	410.40	272.42
Corticaria lapponica	4	2	monophyletic		0.30		12.75	match	match	match	match	554.65	346.82
Corticaria longicollis	1	1	monophyletic		N/A		11.67	match	match	match	match	0	N/A
Corticaria orbicollis	1	1	monophyletic		N/A		10.28	match	match	match	match	0	N/A
Corticaria polypori	2	2	monophyletic		1.39		11.49	match	match	match	match	0	N/A
Corticaria rubripes	1	1	monophyletic		N/A		10.80	match	match	match	match	0	N/A
Corticaria umbilicata	1	1	monophyletic		N/A		11.31	match	match	match	match	0	N/A
Corticarina latipennis	1	1	monophyletic		N/A		10.28	match	match	match	match	0	N/A
Corticarina minuta	2	2	monophyletic		0.46		13.11	match	match	match	match	0	N/A
Corticarina obfuscata	1	1	monophyletic		N/A		10.28	match	match	match	match	0	N/A
Corticeus fraxini	2	1	monophyletic		0.00		17.23	match	match	match	match	0	N/A
Corticeus unicolor	2	1	monophyletic		0.00		15.74	match	match	match	match	0	N/A
Cortinicara gibbosa	4	2	monophyletic		0.46		12.40	match	match	match	match	403.88	204.10
Cortodera femorata	1	1	monophyletic		N/A		16.12	match	match	match	match	0	N/A
Creophilus maxillosus	2	1	monophyletic		0.00		14.58	match	match	match	match	0	N/A
Crepidodera aurata	6	3	monophyletic		0.30		16.06	match	match	match	match	402.18	340.55
Crepidodera fulvicornis	6	6	monophyletic		0.92		16.55	match	match	match	match	230.87	258.65
Crepidodera nitidula	1	1	monophyletic		N/A		18.52	match	match	match	match	0	N/A
Crioceris duodecimpunctata	1	1	monophyletic		N/A		17.92	match	match	match	match	0	N/A
Cryphalus abietis	1	1	monophyletic		N/A		12.56	match	match	match	match	0	N/A
Cryphalus saltuarius	2	1	monophyletic		0.00		12.56	match	match	match	match	0	N/A
Crypticus quisquilius	2	1	monophyletic		0.00		15.09	match	match	match	match	0	N/A
Cryptocephalus androgyne	4	1	monophyletic		0.00		2.01	match	match	merge	match	313.86	343.82
Cryptocephalus aureolus	1	1	monophyletic		N/A		19.68	match	match	match	match	0	N/A
Cryptocephalus bipunctatus	8	5	monophyletic		0.95		16.52	match	match	match	match	415.12	304.47
Cryptocephalus distinguendus	2	2	monophyletic		0.15		13.70	match	match	match	match	0	N/A
Cryptocephalus fulvus	2	1	monophyletic		0.00		18.21	match	match	match	match	0	N/A
Cryptocephalus labiatus	8	3	monophyletic		0.30		16.52	match	match	match	match	454.38	380.99
Cryptocephalus moraei	3	2	monophyletic		0.16		18.00	match	match	match	match	38.81	33.61
Cryptocephalus nitidulus	1	1	monophyletic		N/A		16.13	match	match	match	match	0	N/A
Cryptocephalus nitidus	5	1	monophyletic		0.00		18.79	match	match	match	match	301.65	281.29
Cryptocephalus octopunctatus	1	1	monophyletic		N/A		1.24	merge	merge	merge	merge	0	N/A
Cryptocephalus parvulus	2	2	monophyletic		0.32		2.01	match	match	merge	match	0	N/A
Cryptocephalus pini	3	2	monophyletic		16.41	16.41	19.49	split	split	split	split	437.53	378.91
Cryptocephalus punctiger	1	1	monophyletic		N/A		20.84	match	match	match	match	0	N/A
Cryptocephalus pusillus	3	1	monophyletic		0.00		18.41	match	match	match	match	78.98	44.90
Cryptocephalus quadripustulatus	3	2	monophyletic		0.15		16.13	match	match	match	match	565.95	257.15
Cryptocephalus sexpunctatus	1	1	monophyletic		N/A		1.24	merge	merge	merge	merge	0	N/A
Cryptolestes corticinus	1	1	monophyletic		N/A		17.41	match	match	match	match	0	N/A
Cryptolestes duplicatus	1	1	monophyletic		N/A		15.87	match	match	match	match	0	N/A
Cryptolestes ferrugineus	2	2	monophyletic		8.77	8.77	15.48	split	split	split	split	0	N/A
Cryptophagus acutangulus	1	1	monophyletic		N/A		16.83	match	match	match	match	0	N/A
Cryptophagus badius	2	2	monophyletic		1.23		16.12	match	match	match	match	0	N/A
Cryptophagus confusus	2	1	monophyletic		0.00		15.80	match	match	match	match	0	N/A
Cryptophagus dorsalis	1	1	monophyletic		N/A		17.25	match	match	match	match	0	N/A
Cryptophagus parallelus	1	1	monophyletic		N/A		15.80	match	match	match	match	0	N/A
Cryptophagus quercinus	1	1	monophyletic		N/A		16.12	match	match	match	match	0	N/A
Cryptophagus setulosus	1	1	monophyletic		N/A		15.13	match	match	match	match	0	N/A
Cryptophagus tuberculosus	2	1	monophyletic		0.00		15.13	match	match	match	match	0	N/A
Cryptopleurum minutum	1	1	monophyletic		N/A		13.09	match	match	match	match	0	N/A
Cryptopleurum subtile	3	2	monophyletic		0.15		12.90	match	match	match	match	343.32	206.52
Cryptorhynchus lapathi	2	2	monophyletic		0.17		18.80	match	match	match	match	0	N/A
Crypturgus subcribrosus	1	1	monophyletic		N/A		19.43	match	match	match	match	0	N/A
Ctenicera pectinicornis	4	4	monophyletic		8.59	8.41	11.33	split	split	split	split	395.14	431.67
Curimopsis paleata	1	1	monophyletic		N/A		17.05	match	match	match	match	0	N/A
Cybister lateralimarginalis	1	1	monophyletic		N/A		10.94	match	match	match	match	0	N/A
Cychramus luteus	6	4	monophyletic		1.40	1.25	17.28	match	match	split	match	265.02	121.46
Cychramus variegatus	1	1	monophyletic		N/A		15.53	match	match	match	match	0	N/A
Cychrus caraboides	2	2	monophyletic		0.32		10.79	match	match	match	match	0	N/A
Cylletron nivale	2	1	monophyletic		0.00		12.26	match	match	match	match	0	N/A
Cymbiodyta marginella	3	2	monophyletic		0.61		14.47	match	match	match	match	80.37	69.60
Cymindis macularis	1	1	monophyletic		N/A		7.26	match	match	match	match	0	N/A
Cymindis vaporariorum	2	2	monophyletic		0.46		7.26	match	match	match	match	0	N/A
Cynegetis impunctata	2	1	monophyletic		0.00		18.70	match	match	match	match	0	N/A
Cypha laeviuscula	1	1	monophyletic		N/A		9.94	match	match	match	match	0	N/A
Cypha tarsalis	2	2	monophyletic		2.17	2.17	9.94	match	match	split	split	0	N/A
Cyphon coarctatus	2	2	monophyletic		1.08		14.90	match	match	match	match	0	N/A
Cyphon laevipennis	4	2	monophyletic		0.15		7.09	match	match	match	match	153.78	78.99
Cyphon ochraceus	6	3	monophyletic		0.30		16.84	match	match	match	match	94.01	95.10
Cyphon padi	4	2	monophyletic		0.15		18.63	match	match	match	match	465.39	214.26
Cyphon palustris	2	2	monophyletic		0.30		14.90	match	match	match	match	0	N/A
Cyphon variabilis	6	5	monophyletic		0.46		7.09	match	match	match	match	406.48	280.14
Cytilus auricomus	6	3	monophyletic		1.77	1.56	2.50	split	split	match	match	490.85	266.24
Cytilus sericeus	4	4	monophyletic		0.61		2.50	match	match	match	match	205.66	142.00
Dacne bipustulata	4	1	monophyletic		0.00		18.14	match	match	match	match	327.26	264.79
Dalopius marginatus	4	2	monophyletic		0.30		14.25	match	match	match	match	427.72	253.24
Dasytes cyaneus	1	1	monophyletic		N/A		7.71	match	match	match	match	0	N/A
Dasytes fusculus	1	1	monophyletic		N/A		7.90	match	match	match	match	0	N/A
Dasytes niger	5	5	monophyletic		1.70	0.92	8.73	match	match	match	match	657.48	431.63
Dasytes obscurus	3	2	monophyletic		0.18		8.22	match	match	match	match	415.67	320.45
Dasytes plumbeus	5	4	monophyletic		1.80	1.24	7.71	match	match	split	match	380.14	229.98
Deleaster dichrous	3	1	monophyletic		0.00		17.79	match	match	match	match	426.62	369.46
Deliphrum tectum	2	1	monophyletic		0.00		13.84	match	match	match	match	0	N/A
Demetrias imperialis	8	1	monophyletic		0.00		11.65	match	match	match	match	127.43	75.50
Dendroctonus micans	2	1	monophyletic		0.00		20.82	match	match	match	match	0	N/A
Dendrophagus crenatus	1	1	monophyletic		N/A		13.59	match	match	match	match	0	N/A
Dendrophilus pygmaeus	1	1	monophyletic		N/A		18.52	match	match	match	match	0	N/A
Denticollis borealis	2	1	monophyletic		0.00		16.08	match	match	match	match	0	N/A
Denticollis linearis	4	1	monophyletic		0.00		11.33	match	match	match	match	446.21	270.27
Deporaus betulae	5	5	monophyletic		1.07		18.84	match	match	match	match	876.32	409.74
Dermestes lardarius	2	2	monophyletic		0.15		11.68	match	match	match	match	0	N/A
Dermestes maculatus	1	1	monophyletic		N/A		9.72	match	match	match	match	0	N/A
Dermestes murinus	1	1	monophyletic		N/A		11.13	match	match	match	match	0	N/A
Dermestes szekessyi	5	1	monophyletic		0.00		9.72	match	match	match	match	79.59	64.66
Devia prospera	5	2	monophyletic		1.07		10.08	match	match	match	match	50.88	42.69
Dexiogyia forticornis	1	1	monophyletic		N/A		12.37	match	match	match	match	0	N/A
Diaperis boleti	5	2	monophyletic		0.16		14.09	match	match	match	match	60.57	30.74
Dicerca moesta	3	2	monophyletic		0.30		18.84	match	match	match	match	75.22	65.14
Dicheirotrichus cognatus	1	1	monophyletic		N/A		3.43	match	match	match	match	0	N/A
Dicheirotrichus placidus	5	4	monophyletic		0.30		5.38	match	match	match	match	411.22	232.87
Dicheirotrichus rufithorax	1	1	monophyletic		N/A		3.43	match	match	match	match	0	N/A
Dictyoptera aurora	5	4	monophyletic		6.69	6.23	20.53	split	split	split	split	359.69	266.66
Dienerella vincenti	1	1	monophyletic		N/A		20.76	match	match	match	match	0	N/A
Dinaraea aequata	2	1	monophyletic		0.00		13.68	match	match	match	match	0	N/A
Dissoleucas niveirostris	1	1	monophyletic		N/A		17.61	match	match	match	match	0	N/A
Dochmonota clancula	1	1	monophyletic		N/A		13.46	match	match	match	match	0	N/A
Dolichosoma lineare	3	1	monophyletic		0.00		9.08	match	match	match	match	516.55	268.39
Donacia antiqua	1	1	monophyletic		N/A		9.57	match	match	match	match	0	N/A
Donacia aquatica	1	1	monophyletic		N/A		15.71	match	match	match	match	0	N/A
Donacia obscura	3	3	monophyletic		0.46		9.57	match	match	match	match	369.20	319.73
Donacia semicuprea	2	1	monophyletic		0.00		16.89	match	match	match	match	0	N/A
Donacia thalassina	6	5	monophyletic		0.48		13.55	match	match	match	match	144.55	137.61
Donacia vulgaris	1	1	monophyletic		N/A		15.71	match	match	match	match	0	N/A
Dorcatoma chrysomelina	2	1	monophyletic		0.00		17.31	match	match	match	match	0	N/A
Dorcatoma dresdensis	1	1	monophyletic		N/A		14.71	match	match	match	match	0	N/A
Dorcatoma robusta	2	2	monophyletic		0.15		14.71	match	match	match	match	0	N/A
Dorcus parallelipipedus	2	2	monophyletic		0.16		17.31	match	match	match	match	0	N/A
Dorytomus melanophthalmus	3	2	monophyletic		0.46		16.35	match	match	match	match	55.16	47.77
Dorytomus salicinus	3	1	monophyletic		0.00		14.80	match	match	match	match	0.00	0.00
Dorytomus taeniatus	1	1	monophyletic		N/A		12.59	match	match	match	match	0	N/A
Dorytomus tremulae	1	1	monophyletic		N/A		12.59	match	match	match	match	0	N/A
Doydirhynchus austriacus	1	1	monophyletic		N/A		15.48	match	match	match	match	0	N/A
Drapetes mordelloides	1	1	monophyletic		N/A		18.14	match	match	match	match	0	N/A
Drilus concolor	2	1	monophyletic		0.00		21.70	match	match	match	match	0	N/A
Dromius agilis	5	2	monophyletic		0.15		10.28	match	match	match	match	410.81	237.36
Dromius fenestratus	4	3	monophyletic		0.46		4.27	match	match	match	match	310.29	219.59
Dromius quadraticollis	1	1	monophyletic		N/A		7.22	match	match	match	match	0	N/A
Dromius schneideri	2	2	monophyletic		0.76		4.27	match	match	match	match	0	N/A
Drusilla canaliculata	3	1	monophyletic		0.00		11.47	match	match	match	match	450.97	245.34
Dryocoetes autographus	1	1	monophyletic		N/A		17.51	match	match	match	match	0	N/A
Dryocoetes villosus	3	1	monophyletic		0.00		17.51	match	match	match	match	0.00	0.00
Dryophilus pusillus	1	1	monophyletic		N/A		15.68	match	match	match	match	0	N/A
Dryops anglicanus	3	3	monophyletic		0.51		10.40	match	match	match	match	0.00	0.00
Dryops ernesti	2	1	monophyletic		0.00		10.14	match	match	match	match	0	N/A
Dryops luridus	1	1	monophyletic		N/A		10.14	match	match	match	match	0	N/A
Dryops similaris	1	1	monophyletic		N/A		11.05	match	match	match	match	0	N/A
Dyschirius aeneus	1	1	monophyletic		N/A		8.19	match	match	match	match	0	N/A
Dyschirius angustatus	3	1	monophyletic		0.00		8.56	match	match	match	match	0.00	0.00
Dyschirius globosus	6	5	monophyletic		1.15		7.49	match	match	match	match	586.83	327.15
Dyschirius nigricornis	6	4	monophyletic		0.92		8.01	match	match	match	match	180.63	119.70
Dyschirius obscurus	3	2	polyphyletic	Dyschirius thoracicus	0.77		0.31	merge	merge	mixture	mixture	280.00	242.49
Dyschirius politus	2	2	monophyletic		0.15		7.17	match	match	match	match	0	N/A
Dyschirius salinus	1	1	monophyletic		N/A		8.01	match	match	match	match	0	N/A
Dyschirius thoracicus	6	6	paraphyletic	Dyschirius obscurus	2.97	2.30	0.31	merge	merge	mixture	mixture	448.76	257.94
Dyschirius tristis	4	1	monophyletic		0.00		7.17	match	match	match	match	39.60	43.38
Dytiscus circumcinctus	2	1	monophyletic		0.00		4.90	match	match	match	match	0	N/A
Dytiscus lapponicus	1	1	monophyletic		N/A		4.09	match	match	match	match	0	N/A
Dytiscus marginalis	3	2	monophyletic		1.86	1.86	4.09	match	split	match	split	389.43	304.02
Eanus costalis	2	1	monophyletic		0.00		17.14	match	match	match	match	0	N/A
Ebaeus lapplandicus	1	1	monophyletic		N/A		16.16	match	match	match	match	0	N/A
Eblisia minor	1	1	monophyletic		N/A		18.87	match	match	match	match	0	N/A
Elaphrus cupreus	6	2	monophyletic		0.32		9.08	match	match	match	match	416.51	216.66
Elaphrus riparius	4	3	monophyletic		0.16		11.86	match	match	match	match	866.30	393.52
Elaphrus uliginosus	3	1	monophyletic		0.00		9.08	match	match	match	match	0.31	0.27
Ellescus bipunctatus	1	1	monophyletic		N/A		12.30	match	match	match	match	0	N/A
Ellescus scanicus	1	1	monophyletic		N/A		12.30	match	match	match	match	0	N/A
Elmis aenea	2	1	monophyletic		0.00		18.59	match	match	match	match	0	N/A
Elodes minuta	1	1	monophyletic		N/A		20.30	match	match	match	match	0	N/A
Encephalus complicans	1	1	monophyletic		N/A		12.27	match	match	match	match	0	N/A
Endomychus coccineus	4	3	monophyletic		0.46		16.06	match	match	match	match	424.29	167.32
Enicmus rugosus	1	1	monophyletic		N/A		18.71	match	match	match	match	0	N/A
Enochrus affinis	7	7	monophyletic		4.89	4.07	14.59	split	split	split	split	442.88	281.49
Enochrus bicolor	5	4	monophyletic		0.77		13.88	match	match	match	match	12.87	8.56
Enochrus coarctatus	1	1	monophyletic		N/A		12.39	match	match	match	match	0	N/A
Enochrus melanocephalus	1	1	monophyletic		N/A		14.61	match	match	match	match	0	N/A
Enochrus ochropterus	1	1	monophyletic		N/A		13.31	match	match	match	match	0	N/A
Enochrus quadripunctatus	4	4	monophyletic		1.08		11.49	match	match	match	match	616.40	376.71
Enochrus testaceus	6	2	monophyletic		0.15		11.49	match	match	match	match	329.26	295.80
Ephistemus globulus	1	1	monophyletic		N/A		15.14	match	match	match	match	0	N/A
Epuraea aestiva	5	5	monophyletic		1.54	1.07	16.00	match	split	match	match	634.55	320.69
Epuraea biguttata	2	2	monophyletic		0.46		8.24	match	match	match	match	0	N/A
Epuraea boreella	3	2	monophyletic		0.46		6.04	match	match	match	match	277.51	127.43
Epuraea contractula	3	1	monophyletic		0.00		8.60	match	match	match	match	315.20	67.17
Epuraea laeviuscula	1	1	monophyletic		N/A		7.80	match	match	match	match	0	N/A
Epuraea marseuli	2	2	monophyletic		0.16		11.21	match	match	match	match	0	N/A
Epuraea opalizans	4	3	monophyletic		0.30		6.04	match	match	match	match	247.12	69.43
Epuraea pallescens	3	1	monophyletic		0.00		11.70	match	match	match	match	370.33	168.37
Epuraea placida	1	1	monophyletic		N/A		7.65	match	match	match	match	0	N/A
Epuraea pygmaea	1	1	monophyletic		N/A		6.74	match	match	match	match	0	N/A
Epuraea rufomarginata	2	1	monophyletic		0.00		10.32	match	match	match	match	0	N/A
Epuraea silacea	4	1	monophyletic		0.00		9.97	match	match	match	match	274.25	126.49
Epuraea terminalis	2	2	monophyletic		0.15		7.65	match	match	match	match	0	N/A
Epuraea unicolor	2	1	monophyletic		0.00		8.24	match	match	match	match	0	N/A
Epuraea variegata	2	1	monophyletic		0.00		10.53	match	match	match	match	0	N/A
Erichsonius cinerascens	4	3	monophyletic		0.37		17.28	match	match	match	match	255.90	159.76
Ernobius explanatus	3	2	monophyletic		1.23		16.64	match	match	match	match	0.00	0.00
Euaesthetus bipunctatus	1	1	monophyletic		N/A		14.03	match	match	match	match	0	N/A
Euaesthetus laeviusculus	1	1	monophyletic		N/A		14.45	match	match	match	match	0	N/A
Eucinetus haemorrhoidalis	1	1	monophyletic		N/A		17.20	match	match	match	match	0	N/A
Eucnecosum brachypterum	8	5	monophyletic		3.61	2.80	8.07	split	split	split	split	282.21	224.06
Eucnecosum brunnescens	2	2	monophyletic		0.15		8.07	match	match	match	match	0	N/A
Euconnus hirticollis	1	1	monophyletic		N/A		16.02	match	match	match	match	0	N/A
Euryptilium saxonicum	1	1	monophyletic		N/A		14.77	match	match	match	match	0	N/A
Eusphalerum lapponicum	2	1	monophyletic		0.00		1.23	merge	merge	merge	merge	0	N/A
Eusphalerum minutum	5	1	monophyletic		0.00		13.48	match	match	match	match	420.51	266.19
Eusphalerum sorbicola	1	1	monophyletic		N/A		1.23	merge	merge	merge	merge	0	N/A
Evodinus borealis	2	2	monophyletic		0.30		12.39	match	match	match	match	0	N/A
Exocentrus lusitanus	5	3	monophyletic		0.46		17.58	match	match	match	match	147.59	80.13
Exochomus quadripustulatus	1	1	monophyletic		N/A		15.32	match	match	match	match	0	N/A
Fagniezia impressa	4	2	monophyletic		0.16		16.46	match	match	match	match	0.00	0.00
Falagria caesa	6	4	monophyletic		1.54	1.38	13.01	split	split	split	match	358.19	229.27
Fleutiauxellus maritimus	2	2	monophyletic		0.15		17.46	match	match	match	match	0	N/A
Gabrius appendiculatus	1	1	monophyletic		N/A		6.06	match	match	match	match	0	N/A
Gabrius breviventer	2	2	monophyletic		0.15		7.42	match	match	match	match	0	N/A
Gabrius osseticus	3	1	monophyletic		0.00		16.72	match	match	match	match	0.00	0.00
Gabrius piliger	1	1	monophyletic		N/A		14.40	match	match	match	match	0	N/A
Gabrius toxotes	4	2	monophyletic		2.64	2.48	6.06	match	split	match	split	0.00	0.00
Gabrius trossulus	3	3	monophyletic		0.93		14.26	match	match	match	match	406.15	274.91
Gabronthus sulcifrons	2	2	monophyletic		0.65		15.01	match	match	match	match	0	N/A
Galeruca tanaceti	3	3	monophyletic		1.86	1.49	12.21	match	match	match	match	134.28	116.10
Galerucella aquatica	1	1	monophyletic		N/A		0.17	merge	merge	mixture	merge	0	N/A
Galerucella calmariensis	3	2	paraphyletic	Galerucella pusilla	0.30		0.00	merge	merge	merge	merge	9.11	7.89
Galerucella lineola	3	3	monophyletic		0.30		6.88	match	match	match	match	448.23	334.90
Galerucella nymphaeae	4	4	polyphyletic	"Galerucella sagittariae,Galerucella aquatica,Galerucella sp."	1.54	1.38	0.00	merge	merge	mixture	merge	227.79	249.53
Galerucella pusilla	1	1	monophyletic		N/A		0.00	merge	merge	merge	merge	0	N/A
Galerucella sagittariae	7	6	polyphyletic	"Galerucella aquatica,Galerucella nymphaeae,Galerucella sp."	1.54	1.23	0.00	merge	merge	mixture	merge	467.63	313.91
Galerucella sp.	2	2			0.30							0	N/A
Galerucella tenella	9	5	monophyletic		0.61		0.68	merge	match	match	merge	427.21	231.92
Gastrophysa polygoni	4	3	monophyletic		0.31		18.20	match	match	match	match	661.70	402.19
Gastrophysa viridula	2	1	monophyletic		0.00		13.61	match	match	match	match	0	N/A
Gaurotes virginea	5	1	monophyletic		0.00		12.74	match	match	match	match	271.55	97.87
Geodromicus longipes	1	1	monophyletic		N/A		12.15	match	match	match	match	0	N/A
Geodromicus plagiatus	1	1	monophyletic		N/A		11.64	match	match	match	match	0	N/A
Georissus crenulatus	1	1	monophyletic		N/A		15.11	match	match	match	match	0	N/A
Geostiba circellaris	2	1	monophyletic		0.00		14.22	match	match	match	match	0	N/A
Geotrupes stercorosus	1	1	monophyletic		N/A		14.18	match	match	match	match	0	N/A
Glischrochilus hortensis	2	2	monophyletic		0.65		17.37	match	match	match	match	0	N/A
Glischrochilus quadripunctatus	3	3	monophyletic		1.00		17.37	match	match	match	match	276.58	172.80
Gnathoncus buyssoni	1	1	monophyletic		N/A		20.09	match	match	match	match	0	N/A
Gnatocerus cornutus	1	1	monophyletic		N/A		17.70	match	match	match	match	0	N/A
Gnypeta caerulea	3	2	monophyletic		0.17		8.75	match	match	match	match	570.50	494.06
Gnypeta carbonaria	1	1	monophyletic		N/A		9.56	match	match	match	match	0	N/A
Gnypeta sellmani	3	1	monophyletic		0.00		8.75	match	match	match	match	176.77	153.09
Gonioctena arctica	5	3	monophyletic		0.31		10.15	match	match	match	match	162.40	110.09
Gonioctena decemnotata	2	2	monophyletic		0.17		8.88	match	match	match	match	0	N/A
Gonioctena flavicornis	4	2	monophyletic		0.30		8.25	match	match	match	match	8.55	9.37
Gonioctena intermedia	4	3	monophyletic		1.23		10.23	match	match	match	match	213.95	163.20
Gonioctena linnaeana	4	2	monophyletic		0.15		8.25	match	match	match	match	209.46	160.34
Gonioctena pallida	1	1	monophyletic		N/A		10.23	match	match	match	match	0	N/A
Gonioctena viminalis	1	1	monophyletic		N/A		9.12	match	match	match	match	0	N/A
Graphoderus zonatus	1	1	monophyletic		N/A		12.04	match	match	match	match	0	N/A
Grypus equiseti	2	2	monophyletic		0.77		25.72	match	match	match	match	0	N/A
Gymnetron melanarium	3	1	monophyletic		0.00		19.53	match	match	match	match	261.22	226.22
Gymnusa brevicollis	4	2	monophyletic		0.32		14.85	match	match	match	match	178.57	92.01
Gymnusa variegata	1	1	monophyletic		N/A		17.84	match	match	match	match	0	N/A
Gyrinus aeratus	3	3	monophyletic		0.61		4.75	match	match	match	match	0.00	0.00
Gyrinus marinus	1	1	monophyletic		N/A		4.75	match	match	match	match	0	N/A
Gyrinus minutus	2	2	monophyletic		0.77		10.27	match	match	match	match	0	N/A
Gyrinus natator	1	1	monophyletic		N/A		4.74	match	match	match	match	0	N/A
Gyrinus opacus	4	4	monophyletic		1.07		5.53	match	match	match	match	220.96	128.62
Gyrinus paykulli	1	1	monophyletic		N/A		5.71	match	match	match	match	0	N/A
Gyrinus substriatus	5	2	monophyletic		0.30		4.74	match	match	match	match	39.02	50.37
Gyrohypnus angustatus	5	2	monophyletic		0.61		15.69	match	match	match	match	406.45	218.46
Gyrophaena affinis	3	2	monophyletic		0.15		14.75	match	match	match	match	474.31	322.42
Gyrophaena bihamata	1	1	monophyletic		N/A		11.78	match	match	match	match	0	N/A
Gyrophaena boleti	2	1	monophyletic		0.00		15.30	match	match	match	match	0	N/A
Gyrophaena congrua	1	1	monophyletic		N/A		11.78	match	match	match	match	0	N/A
Gyrophaena fasciata	2	1	monophyletic		0.00		10.15	match	match	match	match	0	N/A
Gyrophaena joyioides	2	1	monophyletic		0.00		10.15	match	match	match	match	0	N/A
Gyrophaena strictula	1	1	monophyletic		N/A		12.21	match	match	match	match	0	N/A
Gyrophaena williamsi	1	1	monophyletic		N/A		12.21	match	match	match	match	0	N/A
Habrocerus capillaricornis	1	1	monophyletic		N/A		13.63	match	match	match	match	0	N/A
Hadrobregmus confusus	2	1	monophyletic		0.00		21.19	match	match	match	match	0	N/A
Haliplus fulvus	1	1	monophyletic		N/A		10.24	match	match	match	match	0	N/A
Haliplus immaculatus	3	3	monophyletic		0.30		5.06	match	match	match	match	160.56	139.04
Haliplus lineolatus	3	2	monophyletic		0.16		2.81	match	match	merge	match	0.53	0.46
Haliplus nr. lineolatus	1	1	monophyletic		N/A		3.45	match	match	match	match	0	N/A
Haliplus ruficollis	3	3	paraphyletic	"Haliplus ,Haliplus lineolatus,Haliplus nr. lineolatus"	2.49	2.33	3.93	match	split	split	split	243.46	210.84
Haliplus sibiricus	2	1	monophyletic		0.00		2.81	match	match	merge	match	0	N/A
Hallomenus axillaris	2	2	monophyletic		0.15		15.66	match	match	match	match	0	N/A
Halobrecta puncticeps	2	2	monophyletic		0.15		15.12	match	match	match	match	0	N/A
